ISO3,Country,avg_life_expectancy,avg_gdp_per_capita,avg_u5_mortality,avg_infant_deaths
AZE,Azerbaijan,70.37727272727273,4234.304226664532,40.20454545454545,4736.727272727273
HND,Honduras,70.35000000000001,2131.5101505743564,25.10909090909091,4578.5
BGD,Bangladesh,70.34545454545454,1040.577240127996,51.21363636363637,135652.22727272726
WSM,Samoa,70.0909090909091,3897.232033724185,19.327272727272728,87.45454545454545
TJK,Tajikistan,70.05909090909091,811.8521727383165,42.50454545454546,7648.909090909091
UKR,Ukraine,69.95454545454545,2178.6479436701015,12.054545454545455,5112.909090909091
EGY,Egypt,69.91818181818182,3099.249835924826,29.55909090909091,60718.90909090909
BOL,"Bolivia, Plurinational State of",69.67727272727274,2568.1151843816906,44.24090909090909,9338.681818181818
PRK,"Korea, Democratic People's Republic of",69.6590909090909,4617.229563078327,35.68636363636364,9315.727272727272
KGZ,Kyrgyzstan,69.50909090909092,974.5451096512595,30.663636363636364,3546.590909090909
PHL,Philippines,69.38636363636364,2532.448751824082,30.54090909090909,55881.454545454544
IDN,Indonesia,69.14545454545454,2794.2741144674987,34.57727272727273,133091.63636363635
NPL,Nepal,69.12727272727273,764.7140814404054,49.28181818181818,26714.863636363636
SYR,Syrian Arab Republic,69.12272727272727,1135.47459290819,25.19545454545454,10661.272727272728
MDA,"Moldova, Republic of",69.11363636363636,2403.746399119474,18.65909090909091,824.4090909090909
RUS,Russian Federation,68.7909090909091,8422.31298828125,10.959090909090909,13916.272727272728
KAZ,Kazakhstan,68.67272727272727,8478.33592574736,21.799999999999997,5842.636363636364
STP,Sao Tome and Principe,68.41363636363636,1217.6367573178732,39.77727272727273,157.9090909090909
TKM,Turkmenistan,67.71363636363637,4376.761251732853,48.56363636363637,5341.818181818182
MRT,Mauritania,67.63636363636364,1475.2327906217533,60.804545454545455,5723.318181818182
MNG,Mongolia,67.44545454545454,2956.1736716699847,30.468181818181815,1403.4545454545455
IND,India,67.29545454545455,1305.5236110721874,58.18181818181818,487917.7799999988
FJI,Fiji,67.18181818181819,4574.265435439019,23.036363636363635,347.09090909090907
UZB,Uzbekistan,66.9090909090909,2247.3312269494504,32.63636363636363,18162.68181818182
TLS,Timor-Leste,66.62272727272727,1235.0123740185975,74.33636363636363,1798.7272727272727
YEM,Yemen,66.61818181818181,1828.723718432407,59.82727272727273,48226.09090909091
SDN,Sudan,66.49090909090908,1246.314572420989,76.36818181818181,72387.18181818182
GUY,Guyana,66.18181818181819,5313.883503204206,36.83181818181818,575.4545454545455
VUT,Vanuatu,66.05,2786.497873029539,21.459090909090907,131.5
KHM,Cambodia,66.02272727272727,1256.376360126624,50.11363636363637,15247.136363636364
COM,Comoros,65.74545454545455,1287.375438941901,56.99090909090909,1042.3636363636363
PNG,Papua New Guinea,64.9090909090909,2164.485266947773,57.89090909090908,10185.227272727272
SEN,Senegal,64.89090909090909,1183.9918130552028,71.43636363636364,20638.136363636364
FSM,"Micronesia, Federated States of",64.79545454545455,2854.9394167042938,32.77272727272727,83.81818181818181
SLB,Solomon Islands,64.45,1906.0477213594959,26.70909090909091,373.54545454545456
MMR,Myanmar,64.32272727272726,858.952154559629,64.87727272727273,53193.545454545456
LAO,Lao People's Democratic Republic,64.24090909090908,1692.1548000165467,69.50454545454545,10094.863636363636
PAK,Pakistan,64.23636363636363,1303.3122999312513,85.22727272727273,442029.1718181818
GHA,Ghana,62.45,1484.0438641420894,66.72727272727273,35921.13636363636
GMB,Gambia,62.28636363636363,654.1446920500704,74.78181818181818,3665.7272727272725
DJI,Djibouti,62.25454545454545,2308.0532852651054,75.52272727272727,1573.3181818181818
ETH,Ethiopia,62.18636363636363,484.84005436656213,86.5,201003.27272727274
MDG,Madagascar,61.97727272727273,450.58376168889845,76.16818181818182,39351.681818181816
GAB,Gabon,61.790909090909096,6899.695957595166,53.31818181818182,2081.9545454545455
RWA,Rwanda,61.627272727272725,605.0305026445347,79.91818181818182,18427.636363636364
KIR,Kiribati,61.23181818181818,1533.5962401907973,60.00909090909091,136.77272727272728
TZA,"Tanzania, United Republic of",61.2,818.7265569513497,73.89999999999999,88285.86363636363
BEN,Benin,61.13181818181818,971.173040203338,108.05909090909091,24049.5
KEN,Kenya,60.89090909090908,1379.481150594644,59.76363636363636,62451.27272727273
ERI,Eritrea,60.39090909090908,773.6128355275639,56.722727272727276,3509.2272727272725
HTI,Haiti,60.032863636363636,1357.2660750073776,81.60454545454546,14922.363636363636
TGO,Togo,59.627272727272725,703.0383134204286,88.44090909090909,12486.363636363636
NGA,Nigeria,59.41818181818182,2146.03011701369,139.36363636363637,484769.1281818172
LBR,Liberia,59.39545454545455,642.0579336727315,113.20454545454545,11106.954545454546
COG,Congo,59.38636363636363,2127.269179076027,69.67727272727274,6821.272727272727
UGA,Uganda,59.36363636363637,749.1845979521419,81.5,69612.95454545454
GNQ,Equatorial Guinea,59.07272727272727,8796.211496410495,112.0090909090909,3135.0454545454545
ZAF,South Africa,58.60454545454545,5712.762725666293,54.54545454545455,41216.72727272727
NAM,Namibia,58.440909090909095,3993.476929913148,59.03181818181818,2855.3636363636365
AFG,Afghanistan,58.41363636363636,465.37559408025476,90.25454545454545,90813.86363636363
MLI,Mali,58.277272727272724,815.974421384988,134.8181818181818,55361.818181818184
BFA,Burkina Faso,58.209090909090904,575.6982587766547,124.58181818181819,43635.545454545456
GIN,Guinea,58.127272727272725,737.5421080836778,125.41363636363636,30616.545454545456
CIV,Côte d'Ivoire,57.65909090909091,1674.8897398086096,102.92727272727274,60518.63636363636
BDI,Burundi,57.65768181818182,317.07211413085673,94.68181818181819,21250.454545454544
COD,"Congo, The Democratic Republic of the",57.56363636363637,414.29481875689197,114.53181818181817,195372.63636363635
AGO,Angola,57.43181818181818,3121.3178026065784,121.52727272727272,69273.90909090909
SSD,South Sudan,57.31363636363637,1738.9660260522855,135.99545454545455,34919.818181818184
BWA,Botswana,57.2465,5952.399338957079,59.16363636363636,2486.7727272727275
NER,Niger,57.15,453.68363489808473,143.64545454545453,61478.13636363636
CMR,Cameroon,57.10909090909092,1325.8910012918982,107.47727272727273,47072.27272727273
MWI,Malawi,56.06677272727273,486.59326199774057,87.01818181818182,30901.454545454544
ZMB,Zambia,55.7395,1116.0288915652907,84.75,28546.81818181818
TCD,Chad,55.6,867.3382029004025,145.0,47077.09090909091
SLE,Sierra Leone,55.33181818181818,920.740020141616,148.54090909090908,20817.0
GNB,Guinea-Bissau,55.13181818181818,631.9135862762074,116.97727272727273,3976.2272727272725
MOZ,Mozambique,54.209090909090904,493.68330582201065,100.47727272727273,62368.318181818184
ZWE,Zimbabwe,52.50277272727272,1274.2957898723735,75.50909090909092,27441.31818181818
SOM,Somalia,51.36922727272727,380.1562517406706,154.66818181818184,57679.454545454544
SWZ,Eswatini,49.68877272727273,3068.2858744765267,81.11818181818181,2049.0454545454545
CAF,Central African Republic,49.25277272727272,430.8242140867092,146.42727272727274,18140.5
LSO,Lesotho,48.75172727272727,960.782221883909,91.5,4266.090909090909
