Country,ISO3,Year,y_true,y_pred,Residual,Cooks_D
Eswatini,SWZ,2019,55.7,56.43699999999997,-0.7369999999999663,0.0010663869961204074
Denmark,DNK,2019,81.3,81.8983190975693,-0.598319097569302,0.0010658386886077224
North Macedonia,MKD,2021,73.0,74.94624725224541,-1.9462472522454135,0.0010596543071566336
Saint Kitts and Nevis,KNA,2020,72.7,72.86078716612086,-0.16078716612085486,0.0010510304796704833
Tuvalu,TUV,2020,72.7,72.99225367908836,-0.2922536790883612,0.0010323853659154293
Niue,NIU,2019,73.7,72.7434954723301,0.9565045276699067,0.0010215335389728672
Saint Lucia,LCA,2019,76.1,76.01054011342902,0.08945988657097814,0.001018687385711479
Saint Lucia,LCA,2018,76.1,76.0483078891718,0.051692110828199134,0.0010109650151574204
Antigua and Barbuda,ATG,2018,75.6,75.9995690235689,-0.3995690235689011,0.0009994487128073344
Saudi Arabia,SAU,2018,76.8,76.94789126984142,-0.14789126984142342,0.0009889581204739865
Somalia,SOM,2020,55.1,55.395000000000046,-0.29500000000004434,0.0009821485925475156
Yemen,YEM,2020,66.5,66.60002380952382,-0.10002380952381884,0.0009783300117908208
Solomon Islands,SLB,2021,64.8,65.7831714285715,-0.9831714285715094,0.000974033703092148
Saudi Arabia,SAU,2019,76.9,77.22431904761913,-0.32431904761912733,0.0009671415609665364
Cyprus,CYP,2020,82.1,82.11060046805058,-0.010600468050583345,0.0009611743717729251
Qatar,QAT,2018,78.6,79.3376666666667,-0.737666666666712,0.000958843390435652
Latvia,LVA,2021,73.2,73.37541157640106,-0.17541157640106064,0.0009570275055075229
Angola,AGO,2018,62.3,61.98530674603169,0.31469325396830783,0.0009464485142677821
New Zealand,NZL,2021,82.2,81.37840820105843,0.8215917989415686,0.0009451767526331894
Dominican Republic,DOM,2018,73.5,72.70334104643216,0.7966589535678423,0.0009388424574734479
Turkmenistan,TKM,2020,68.5,69.12310952380949,-0.6231095238094895,0.0009346607211659429
Bahamas,BHS,2021,70.4,70.91366666666659,-0.5136666666665803,0.0009337100801392141
Finland,FIN,2019,81.6,81.07301411134566,0.5269858886543375,0.0009316656095209642
Finland,FIN,2020,81.5,81.03785762668684,0.46214237331315644,0.0009208269912511392
Brunei Darussalam,BRN,2018,76.4,76.21474365079375,0.18525634920625578,0.0009183102511864926
Italy,ITA,2018,82.8,82.60348958874444,0.19651041125555935,0.000890142225026652
"Palestine, State of",PSE,2020,75.1,74.95363822751332,0.14636177248667082,0.0008882499983303686
Lao People's Democratic Republic,LAO,2018,68.1,67.96585555555566,0.13414444444433116,0.0008822147932940973
Ecuador,ECU,2019,77.8,77.48178698428204,0.31821301571795857,0.0008784589077124984
North Macedonia,MKD,2020,74.4,76.71920568783074,-2.319205687830731,0.000874700997180207
Antigua and Barbuda,ATG,2019,75.7,76.00323542568535,-0.3032354256853438,0.000868948468516041
Haiti,HTI,2019,63.7,63.57259724500657,0.12740275499343312,0.000864580212140751
Belize,BLZ,2021,73.3,73.14153747412013,0.15846252587986953,0.0008636951034845769
Malta,MLT,2019,82.1,81.91020680615694,0.18979319384305882,0.000862435724721057
Italy,ITA,2019,82.8,82.60226736652221,0.19773263347778425,0.0008534145706080341
Lebanon,LBN,2020,77.7,77.23173505291003,0.46826494708997757,0.0008495533133165767
Denmark,DNK,2020,81.4,81.93306801531817,-0.5330680153181646,0.0008357758590577842
Papua New Guinea,PNG,2020,66.3,66.54064231601738,-0.24064231601738584,0.0008215959141785493
Kenya,KEN,2021,66.8,66.51811084054832,0.2818891594516799,0.0008143462729354822
Eritrea,ERI,2021,63.6,63.44764242424254,0.15235757575746334,0.0008136604288686739
Australia,AUS,2018,82.8,82.49773063973065,0.30226936026934936,0.0008110723767064068
China,CHN,2018,77.1,76.85540473785495,0.24459526214504024,0.0008109016173382291
Israel,ISR,2020,82.4,82.29501269748782,0.10498730251218547,0.0008058838358144453
Azerbaijan,AZE,2020,71.4,73.08988717675985,-1.6898871767598393,0.0007955585002514511
Malta,MLT,2020,82.0,81.9035472101973,0.09645278980269723,0.0007955485593309447
Jamaica,JAM,2019,72.2,72.77941251962888,-0.5794125196288746,0.0007923923954421736
Cabo Verde,CPV,2018,73.9,74.1536245796404,-0.25362457964038754,0.0007861944852288075
Cabo Verde,CPV,2021,73.2,73.31612513298523,-0.11612513298523197,0.000781500079692273
Australia,AUS,2021,82.8,82.41623063973074,0.38376936026925534,0.0007791743393483434
Somalia,SOM,2019,55.2,55.45066666666672,-0.2506666666667172,0.0007738019925426389
Gambia,GMB,2021,64.2,63.87292744107747,0.32707255892253073,0.0007729282114250861
Lao People's Democratic Republic,LAO,2019,68.4,68.3938571428572,0.006142857142805269,0.0007713625304557566
Angola,AGO,2019,62.5,62.277216269841276,0.22278373015872432,0.0007682911624335156
Cabo Verde,CPV,2019,74.1,74.08015503687679,0.01984496312320516,0.0007680647459432723
Morocco,MAR,2021,72.6,73.16287275893676,-0.5628727589367628,0.0007680027991504903
Niue,NIU,2018,73.5,72.77740870733436,0.7225912926656406,0.0007670690900371327
Chad,TCD,2020,59.2,59.4143348003848,-0.21433480038479757,0.0007586936814421751
Jamaica,JAM,2018,72.5,73.0266164263057,-0.5266164263056936,0.0007529114113541431
Kazakhstan,KAZ,2020,71.3,72.22115019950962,-0.9211501995096256,0.0007521902247754072
Madagascar,MDG,2020,63.1,63.35256776094284,-0.2525677609428385,0.0007429684429619872
Poland,POL,2021,75.4,76.27143083329165,-0.8714308332916403,0.0007382338750383479
Costa Rica,CRI,2021,78.6,77.46916109446109,1.1308389055389085,0.0007322423479009452
Cyprus,CYP,2021,81.9,82.08380582158595,-0.18380582158594905,0.0007296214660579615
