Country,ISO3,proj_le,Scenario
Samoa,WSM,70.79735000000004,pessimistic
Sao Tome and Principe,STP,71.4463071204581,pessimistic
Saudi Arabia,SAU,77.60943386243385,pessimistic
Senegal,SEN,67.29345396825406,pessimistic
Serbia,SRB,72.62193924636308,pessimistic
Seychelles,SYC,75.65077777777775,pessimistic
Sierra Leone,SLE,64.28000000000007,pessimistic
Singapore,SGP,82.40297317460322,pessimistic
Slovakia,SVK,74.71198144299544,pessimistic
Slovenia,SVN,81.2762557435256,pessimistic
Solomon Islands,SLB,65.28500000000012,pessimistic
Somalia,SOM,53.737666666666684,pessimistic
South Africa,ZAF,60.39600000000002,pessimistic
South Sudan,SSD,63.24033333333332,pessimistic
Spain,ESP,82.2650951048952,pessimistic
Sri Lanka,LKA,77.30207539682546,pessimistic
Sudan,SDN,66.00581310726312,pessimistic
Suriname,SUR,66.64802777777778,pessimistic
Sweden,SWE,82.12985470085466,pessimistic
Switzerland,CHE,82.6908666666664,pessimistic
Syrian Arab Republic,SYR,80.11133333333323,pessimistic
Tajikistan,TJK,69.66673572182265,pessimistic
"Tanzania, United Republic of",TZA,66.97357936507944,pessimistic
Thailand,THA,70.65600000000008,pessimistic
Timor-Leste,TLS,67.94166666666673,pessimistic
Togo,TGO,65.83405595238088,pessimistic
Tonga,TON,72.49504739010996,pessimistic
Trinidad and Tobago,TTO,67.10918055555547,pessimistic
Tunisia,TUN,73.6115183428688,pessimistic
Turkmenistan,TKM,70.46407734443186,pessimistic
Tuvalu,TUV,70.8998459757348,pessimistic
Uganda,UGA,66.06620873015875,pessimistic
Ukraine,UKR,70.08033333333327,pessimistic
United Arab Emirates,ARE,81.85796176590308,pessimistic
United Kingdom,GBR,78.73630650738151,pessimistic
United States,USA,71.27166666666663,pessimistic
Uruguay,URY,74.32373341370018,pessimistic
Uzbekistan,UZB,74.12585686405096,pessimistic
Vanuatu,VUT,66.14013888888891,pessimistic
"Venezuela, Bolivarian Republic of",VEN,68.67235277777792,pessimistic
Viet Nam,VNM,74.98315277777776,pessimistic
Yemen,YEM,61.179500000000054,pessimistic
Zambia,ZMB,62.82783333333328,pessimistic
Zimbabwe,ZWE,59.72566666666677,pessimistic
